movie_id,imdb_id,tmdb_id,rating,average_rating,title
112556,2267998,210577,3.0,3.95798,Gone Girl (2014)
115667,1638002,200727,2.5,3.7704,"Love, Rosie (2014)"
115713,0470752,264660,2.5,3.99029,Ex Machina (2015)
116797,2084970,205596,2.5,4.00597,The Imitation Game (2014)
127202,2582496,308369,4.0,3.846,Me and Earl and the Dying Girl (2015)
128512,3622592,286565,3.5,3.16234,Paper Towns (2015)
133771,3464902,254320,2.5,3.66496,The Lobster (2015)
139855,2401878,291270,3.5,3.57113,Anomalisa (2015)
144482,3118452,335866,1.5,3.244,Circle (2015)
148881,4171032,303867,1.5,3.99601,World of Tomorrow (2015)
157373,2078648,86517,5.0,4.15588,It's Such a Beautiful Day (2011)
159415,4034354,347031,5.0,3.50022,Swiss Army Man (2016)
161922,1878870,376660,4.0,3.69873,The Edge of Seventeen (2016)
163134,5311514,372058,5.0,4.15563,Your Name. (2016)
166291,5323662,378064,4.0,4.02163,A Silent Voice: The Movie (2016)
169252,0887734,32532,5.0,4.02736,Everything Will Be OK (2006)
169792,2989524,317560,2.0,3.40659,Carrie Pilby (2017)
170635,0234588,32536,2.5,3.8551,Rejected (2000)
171253,5805752,403431,4.5,3.69199,Brigsby Bear (2017)
172667,4882376,433247,1.0,3.73039,First They Killed My Father (2017)
174703,1282053,32534,5.0,4.15534,I Am So Proud of You (2008)
177615,4925292,391713,2.5,3.79921,Lady Bird (2017)
179881,1389072,301337,1.0,2.78852,Downsizing (2017)
181077,4955566,436459,0.5,2.94595,Almost Friends (2017)
183437,7278178,471495,1.5,3.97753,World of Tomorrow Episode Two: The Burden of Other People's Thoughts (2017)
185353,0123374,32529,1.0,2.93939,"Ah, l'Amour (1994)"
190257,0123860,32533,2.0,3.3,Genre (1995)
190259,0123970,32535,1.5,3.45714,Lily and Jim (1997)
190367,0440972,32539,1.5,3.60976,The Meaning of Life (2005)
194951,2737304,405774,3.5,3.23057,Bird Box (2018)
195463,6676028,448447,0.5,2.72917,In a Relationship (2018)
201200,8075260,515248,1.0,3.02098,Someone Great (2019)
204158,9426210,568160,2.0,3.78345,Weathering with You (2019)
205441,7653254,492188,1.5,3.79944,Marriage Story (2019)
206246,8228288,619264,3.5,3.61453,The Platform (2019)
212373,7939766,500840,1.0,3.47656,I'm Thinking of Ending Things (2020)
223638,11394182,653578,3.0,3.5177,Feels Good Man (2020)
239428,3797512,595813,2.0,3.0614,Barb & Star Go to Vista Del Mar (2021)
239490,11080108,672647,3.5,3.53265,The Map of Tiny Perfect Things (2021)
249200,9730822,802119,1.0,2.94118,All About Sex (2021)
249724,12837488,729775,2.5,4.0,World of Tomorrow Episode Three: The Absent Destinations of David Prime (2020)
254464,12735338,579741,3.0,3.55556,Words Bubble Up Like Soda Pop (2021)
260667,2953050,568124,3.0,3.60744,Encanto (2021)
263407,11286314,646380,3.0,3.43277,Don't Look Up (2021)
270698,6710474,545611,3.5,4.08222,Everything Everywhere All at Once (2022)
279402,10687116,1027014,0.5,3.4,Entergalactic (2022)
