# ----------------------------------------
# All Web Site Data
# Audience Overview
# 20140901-20161231
# ----------------------------------------

Day Index,Sessions,Pageviews
7/11/15,28,36
7/12/15,17,17
7/13/15,103,117
7/14/15,45,68
7/15/15,15,49
7/16/15,45,47
7/17/15,44,58
7/18/15,19,20
7/19/15,31,37
7/20/15,28,33
7/21/15,57,63
7/22/15,67,70
7/23/15,94,140
7/24/15,48,119
7/25/15,46,49
7/26/15,56,60
7/27/15,46,75
7/28/15,47,68
7/29/15,29,29
7/30/15,29,32
7/31/15,51,68
8/1/15,58,80
8/2/15,50,53
8/3/15,56,61
8/4/15,48,70
8/5/15,38,72
8/6/15,59,66
8/7/15,92,125
8/8/15,43,125
8/9/15,73,141
8/10/15,37,44
8/11/15,46,64
8/12/15,26,42
8/13/15,47,51
8/14/15,12,21
8/15/15,15,18
8/16/15,18,24
8/17/15,20,23
8/18/15,19,21
8/19/15,24,65
8/20/15,10,12
8/21/15,18,18
8/22/15,19,48
8/23/15,8,22
8/24/15,24,36
8/25/15,29,58
8/26/15,13,18
8/27/15,19,32
8/28/15,16,36
8/29/15,18,29
8/30/15,17,17
8/31/15,33,62
9/1/15,28,55
9/2/15,41,50
9/3/15,27,54
9/4/15,27,35
9/5/15,20,30
9/6/15,25,39
9/7/15,30,46
9/8/15,28,34
9/9/15,32,55
9/10/15,4,32
9/11/15,14,15
9/12/15,10,10
9/13/15,13,13
9/14/15,16,18
9/15/15,16,23
9/16/15,15,18
9/17/15,21,31
9/18/15,12,12
9/19/15,15,23
9/20/15,10,27
9/21/15,22,45
9/22/15,14,18
9/23/15,10,11
9/24/15,14,18
9/25/15,11,20
9/26/15,11,13
9/27/15,14,18
9/28/15,18,25
9/29/15,12,16
9/30/15,6,12
10/1/15,23,28
10/2/15,10,11
10/3/15,8,9
10/4/15,15,20
10/5/15,21,31
10/6/15,10,10
10/7/15,18,18
10/8/15,6,6
10/9/15,9,10
10/10/15,12,17
10/11/15,14,40
10/12/15,22,27
10/13/15,13,23
10/14/15,18,22
10/15/15,20,21
10/16/15,18,18
10/17/15,10,11
10/18/15,19,31
10/19/15,12,38
10/20/15,18,23
10/21/15,14,25
10/22/15,12,16
10/23/15,13,15
10/24/15,21,31
10/25/15,13,24
10/26/15,11,110
10/27/15,5,23
10/28/15,17,28
10/29/15,13,40
10/30/15,18,49
10/31/15,3,5
11/1/15,18,19
11/2/15,1,1
11/3/15,8,8
11/4/15,8,12
11/5/15,10,14
11/6/15,10,19
11/7/15,12,22
11/8/15,10,11
11/9/15,15,26
11/10/15,9,15
11/11/15,9,11
11/12/15,8,36
11/13/15,6,6
11/14/15,5,11
11/15/15,6,16
11/16/15,13,15
11/17/15,64,77
11/18/15,15,16
11/19/15,33,37
11/20/15,16,41
11/21/15,78,79
11/22/15,33,36
11/23/15,18,26
11/24/15,17,34
11/25/15,11,12
11/26/15,28,34
11/27/15,36,42
11/28/15,49,56
11/29/15,73,79
11/30/15,55,82
12/1/15,13,58
12/2/15,6,6
12/3/15,9,12
12/4/15,6,6
12/5/15,3,7
12/6/15,7,7
12/7/15,7,19
12/8/15,21,23
12/9/15,26,37
12/10/15,25,25
12/11/15,18,19
12/12/15,6,8
12/13/15,4,4
12/14/15,9,31
12/15/15,5,19
12/16/15,6,7
12/17/15,2,2
12/18/15,6,9
12/19/15,6,7
12/20/15,14,24
12/21/15,5,18
12/22/15,8,15
12/23/15,15,38
12/24/15,38,49
12/25/15,20,25
12/26/15,54,65
12/27/15,28,43
12/28/15,56,75
12/29/15,26,56
12/30/15,85,127
12/31/15,17,29
1/1/16,16,21
1/2/16,31,32
1/3/16,22,28
1/4/16,24,47
1/5/16,16,17
1/6/16,19,19
1/7/16,20,23
1/8/16,76,109
1/9/16,19,19
1/10/16,47,47
1/11/16,7,15
1/12/16,9,53
1/13/16,6,30
1/14/16,9,41
1/15/16,7,10
1/16/16,1,1
1/17/16,3,3
1/18/16,6,30
1/19/16,6,8
1/20/16,10,20
1/21/16,3,4
1/22/16,7,18
1/23/16,4,7
1/24/16,30,33
1/25/16,3,4
1/26/16,9,13
1/27/16,13,131
1/28/16,5,28
1/29/16,3,4
1/30/16,6,13
1/31/16,6,12
2/1/16,6,21
2/2/16,2,4
2/3/16,7,33
2/4/16,5,6
2/5/16,1,1
2/6/16,5,10
2/7/16,4,7
2/8/16,6,11
2/9/16,2,2
2/10/16,8,16
2/11/16,8,11
2/12/16,7,17
2/13/16,10,38
2/14/16,13,14
2/15/16,4,32
2/16/16,3,14
2/17/16,1,4
2/18/16,10,33
2/19/16,6,12
2/20/16,4,6
2/21/16,6,22
2/22/16,6,6
2/23/16,13,21
2/24/16,5,10
2/25/16,11,39
2/26/16,3,3
2/27/16,8,11
2/28/16,7,13
2/29/16,4,39
3/1/16,7,9
3/2/16,8,9
3/3/16,9,24
3/4/16,1,1
3/5/16,4,10
3/6/16,37,139
3/7/16,165,588
3/8/16,55,159
3/9/16,140,394
3/10/16,7,8
3/11/16,14,42
3/12/16,6,34
3/13/16,3,31
3/14/16,2,20
3/15/16,6,20
3/16/16,10,37
3/17/16,7,8
3/18/16,4,4
3/19/16,5,13
3/20/16,4,6
3/21/16,7,8
3/22/16,9,26
3/23/16,8,13
3/24/16,9,32
3/25/16,6,39
3/26/16,10,25
3/27/16,16,65
3/28/16,18,35
3/29/16,15,52
3/30/16,9,10
3/31/16,4,6
4/1/16,4,14
4/2/16,6,15
4/3/16,1,1
4/4/16,16,39
4/5/16,16,64
4/6/16,15,38
4/7/16,8,18
4/8/16,14,38
4/9/16,2,2
4/10/16,6,7
4/11/16,8,11
4/12/16,14,16
4/13/16,23,40
4/14/16,9,11
4/15/16,16,36
4/16/16,9,21
4/17/16,6,9
4/18/16,4,13
4/19/16,11,19
4/20/16,16,27
4/21/16,11,26
4/22/16,9,9
4/23/16,8,11
4/24/16,10,24
4/25/16,14,22
4/26/16,10,86
4/27/16,6,6
4/28/16,53,85
4/29/16,13,32
4/30/16,15,33
5/1/16,16,19
5/2/16,42,84
5/3/16,13,48
5/4/16,23,98
5/5/16,17,72
5/6/16,10,27
5/7/16,12,28
5/8/16,14,34
5/9/16,9,73
5/10/16,16,26
5/11/16,13,20
5/12/16,15,23
5/13/16,19,32
5/14/16,12,17
5/15/16,11,36
5/16/16,13,57
5/17/16,23,40
5/18/16,27,88
5/19/16,8,43
5/20/16,9,36
5/21/16,17,62
5/22/16,7,11
5/23/16,14,51
5/24/16,42,65
5/25/16,15,65
5/26/16,10,10
5/27/16,9,14
5/28/16,11,15
5/29/16,10,18
5/30/16,12,37
5/31/16,18,105
6/1/16,8,8
6/2/16,17,45
6/3/16,45,84
6/4/16,9,15
6/5/16,19,32
6/6/16,20,27
6/7/16,10,13
6/8/16,7,13
6/9/16,12,80
6/10/16,9,16
6/11/16,14,87
6/12/16,11,33
6/13/16,13,47
6/14/16,13,27
6/15/16,10,16
6/16/16,9,65
6/17/16,15,90
6/18/16,8,24
6/19/16,13,26
6/20/16,20,64
6/21/16,18,39
6/22/16,21,54
6/23/16,13,103
6/24/16,17,71
6/25/16,7,120
6/26/16,13,26
6/27/16,17,98
6/28/16,19,38
6/29/16,20,49
6/30/16,46,89
7/1/16,27,84
7/2/16,31,46
7/3/16,10,23
7/4/16,7,7
7/5/16,6,17
7/6/16,34,42
7/7/16,10,27
7/8/16,15,39
7/9/16,7,14
7/10/16,10,49
7/11/16,5,57
7/12/16,14,53
7/13/16,7,12
7/14/16,16,123
7/15/16,11,113
7/16/16,11,36
7/17/16,9,17
7/18/16,10,12
7/19/16,34,45
7/20/16,7,7
7/21/16,6,60
7/22/16,5,12
7/23/16,10,27
7/24/16,15,23
7/25/16,7,10
7/26/16,5,37
7/27/16,9,32
7/28/16,9,18
7/29/16,4,6
7/30/16,18,39
7/31/16,7,49
8/1/16,7,22
8/2/16,4,4
8/3/16,13,30
8/4/16,9,24
8/5/16,11,34
8/6/16,5,7
8/7/16,38,44
8/8/16,9,11
8/9/16,10,44
8/10/16,13,25
8/11/16,11,44
8/12/16,6,14
8/13/16,20,57
8/14/16,10,39
8/15/16,17,36
8/16/16,12,29
8/17/16,42,99
8/18/16,12,27
8/19/16,15,56
8/20/16,12,54
8/21/16,43,69
8/22/16,45,103
8/23/16,17,17
8/24/16,15,21
8/25/16,58,138
8/26/16,32,89
8/27/16,13,16
8/28/16,11,69
8/29/16,8,12
8/30/16,9,13
8/31/16,8,30
9/1/16,12,33
9/2/16,8,20
9/3/16,9,19
9/4/16,8,89
9/5/16,8,107
9/6/16,8,88
9/7/16,10,68
9/8/16,2,2
9/9/16,8,34
9/10/16,4,6
9/11/16,13,52
9/12/16,10,16
9/13/16,11,39
9/14/16,8,31
9/15/16,9,39
9/16/16,5,6
9/17/16,4,4
9/18/16,5,11
9/19/16,9,12
9/20/16,5,11
9/21/16,16,48
9/22/16,11,14
9/23/16,13,17
9/24/16,12,31
9/25/16,7,10
9/26/16,15,26
9/27/16,15,45
9/28/16,32,56
9/29/16,17,43
9/30/16,5,16
10/1/16,20,68
10/2/16,19,37
10/3/16,25,100
10/4/16,9,11
10/5/16,6,26
10/6/16,7,16
10/7/16,9,40
10/8/16,8,13
10/9/16,9,16
10/10/16,13,38
10/11/16,11,19
10/12/16,16,35
10/13/16,9,13
10/14/16,7,9
10/15/16,8,9
10/16/16,7,45
10/17/16,7,16
10/18/16,12,50
10/19/16,10,19
10/20/16,12,24
10/21/16,8,41
10/22/16,10,39
10/23/16,11,30
10/24/16,11,39
10/25/16,15,17
10/26/16,11,16
10/27/16,27,74
10/28/16,12,61
10/29/16,9,12
10/30/16,26,49
10/31/16,5,14
11/1/16,15,36
11/2/16,7,7
11/3/16,3,3
11/4/16,6,38
11/5/16,8,12
11/6/16,18,58
11/7/16,17,29
11/8/16,6,23
11/9/16,5,32
11/10/16,12,17
11/11/16,14,46
11/12/16,19,44
11/13/16,13,39
11/14/16,12,22
11/15/16,22,46
11/16/16,8,11
11/17/16,13,20
11/18/16,17,27
11/19/16,27,54
11/20/16,27,53
11/21/16,30,61
11/22/16,37,106
11/23/16,33,54
11/24/16,16,41
11/25/16,31,46
11/26/16,26,39
11/27/16,18,42
11/28/16,22,35
11/29/16,42,78
11/30/16,44,83
12/1/16,52,74
12/2/16,16,26
12/3/16,12,29
12/4/16,8,26
12/5/16,12,69
12/6/16,13,29
12/7/16,10,17
12/8/16,8,17
12/9/16,9,36
12/10/16,6,11
12/11/16,7,10
12/12/16,9,19
12/13/16,9,29
12/14/16,8,25
12/15/16,11,53
12/16/16,12,46
12/17/16,27,56
12/18/16,10,15
12/19/16,15,23
12/20/16,21,52
12/21/16,12,16
12/22/16,16,51
12/23/16,14,72
12/24/16,7,13
12/25/16,11,18
12/26/16,8,17
12/27/16,5,7
12/28/16,8,20
12/29/16,7,17
12/30/16,19,51
12/31/16,8,18
,"15,190","30,515"
